标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【品牌起名】化妆品品牌取名,4210人,92人,¥100,圆满完成,M1331****686,产品特点：老祖宗传下来的验方，天然合成，提纵、紧致、美白功效特好，适合开发国内和国际市场,2015-12-12,2016.01.21,任务编号：396499,100.0,,mf15152332183,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】网站平台名称征集,7084人,144人,¥200,圆满完成,铭征集,主题：以0元、团购为主，免费，征集一个网名，附带一句震撼购买的广告语要求：要求平台名称有0元任意选的意思，震撼力高，吸引眼球，好记，顺口，微信公众号未被使用，平台主要做进出口商品，名字要求出现0元广告语要求霸气，让消费者看到免费，急着购买的欲望，免费捡好货参考网名：0元购0元天天够，免费零元购，0元正品汇，0元商场，0元海购,2015-12-12,2016.01.24,任务编号：396493,200.0,,花野君的画铺15800372188,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】“上海xx生物科技有限公司”起名,5830人,102人,¥200,圆满完成,waywayne,上海xx生物科技有限公司公司主要从事生物技术和检测方面的研发，生产，销售，技术服务等名字要求如下：1、2～4个汉字组成2、最好有英文名称对照3、名字的含义解释4、工商注册核名能通过的,2015-12-12,2016.01.31,任务编号：396437,200.0,,攸木灵,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】服装公司起名,4262人,64人,¥100,圆满完成,wswna,"服装公司名称征集，本公司位于苏州。                            经营介绍： 主营婚纱，礼服。，， 服装特色：时尚，大方。 主要通过网络销售，销售目的地为欧美主要国家，页需要在国内销售的，注重英文的流行性和中文的可记忆性。                           产品主要三类：                                            1、主要是女装，婚纱，伴娘服，舞会礼服，派对礼服，妈妈装，消费人群以18-35岁女性为主                                                  要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、一定要有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015-12-12,2016.01.24,任务编号：396436,100.0,,mf13348868459,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【店铺/网店起名】高端卖场取店名,4849人,86人,¥100,圆满完成,mf159****0590,我们是在写字间里面的一家高端卖场主要是卖奢侈品 珠宝 古玩 高端家具等等也帮助客人寻找想要的东西平时是类似会所形式  客人不买东西 也经常来喝茶聊天名字2-4个字 要中英文的 并且要有释义老板属木  最好名字里面带水或者土  偏旁带也算名字要高端大气有寓意 好记,2015-12-10,2016.01.15,任务编号：396211,100.0,,陈家商铺,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】上海公司取名,4921人,42人,¥100,圆满完成,黑豆先生,"1、公司主要产品是酒店洗漱用品，旅行套装，清洁用品2,  公司名需要提供中文和英文（附件图片为参考）3、名字无限制，但念起来要顺，需要大气，好记，能体现行业特点，同时具有国际化的风格，容易给消费者留下深刻的印象。4、名字可以注册公司，交稿前可先去查询一下是否被注册，最好看一下能否注册商标。5、需附上创意说明和广告语6、作品必须要求是原创，为第一次发布，无侵犯他人的著作权。如有侵犯他人著作权，由设计师承担所有法律责任。7、中标的作品，我方支付费用。即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对作品进行修改、组合和应用，设计师不得再向其他任何地方使用该作品。8、因为取得名字要进行商标注册，所以要求一切投稿隐藏保密。",2015-12-10,2015.12.30,任务编号：396141,100.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】贸易公司取名,4353人,78人,¥150,圆满完成,开水是凉的,"1、要求中文和英文2、喻意好、大器、响亮3、无生僻字4、英文要求字母少, 中文名两个字最好注意: 公司名需要没被注册过.背景：公司做进出口贸易，玩具和工艺品",2015-12-09,2015.12.28,任务编号：396011,150.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】教育培训机构取名,4773人,72人,¥100,圆满完成,风铃1016,"教育培训机构位于美丽的江城武汉，经营范围为文化教育培训及各类艺术培训。日后将会参与公益及慈善相关的活动，请在取名时考虑到这一方面信息。一、取名要求：1、名称响亮，易记，文雅，与教育培训行业及公益相关，易于传播；2、最好有中、英文两种名称，并可注册商标；3、附上创意说明。二、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015-12-09,2016.01.03,任务编号：395875,100.0,,墨客文案工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】征集杯套品牌名称,4563人,67人,¥280,圆满完成,M1326****288,"征集杯套品牌名称，用于商标注册   保温杯专用杯套，面向中高端用户。我司杯套主要与日本膳魔师 象印 虎牌等世界顶尖保温杯品牌配套，可以百度搜索这几个品牌，了解一下文化。   要有中英文两种名称，运用中文和字母或两者结合来为品牌命名，使消费者对产品增加“洋”感受，要有中英文注释，附上创意说明。产品也会销往国外，高端大气，便于客户理解  有广告语最好  名字需要用于商标注册 各位高手请注意，在此谢过！   品牌文化：独特 高端 品质。  主要用户群体为：25-40女性，此群体也会买给自己亲近的人，比如：孩子、老公、老人等等。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;比较着急，发现好的，会立即采用！",2015-12-08,2016.03.07,任务编号：395708,280.0,,dylfs,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】婚庆一站式服务平台命名,3969人,75人,¥100,圆满完成,o56556ff57344e,该平台意在整合婚庆服务类行业资源！集婚宴酒店、婚庆用品、婚庆服务、婚纱摄影、婚庆车队等等于一体的综合型服务平台！消费者可在平台上找到婚庆一系列服务，并可以做出比较！省去繁琐的流程！命名要求：1、字数：2或3                    2、简单、喜庆、大气                     3、便于LOGO设计，及推广希望各路英雄豪杰，能够广提创意，公司这边有赏啦！,2015-12-07,2015.12.27,任务编号：395541,100.0,,和靛栈,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】装修类行业服务平台命名,3215人,62人,¥100,圆满完成,o56556ff57344e,该平台意在整合装修类行业资源！集装修建材、装修家居、装修设计、装修施工等等于一体的综合型服务平台！消费者可在平台上找到装修一系列服务，并可以做出比较！省去繁琐的流程！让客户可以享受到省钱、高效、高质量的装修服务命名要求：1、字数：2或3          2、简单、大气           3、便于LOGO设计，及推广希望各路英雄豪杰，能够广提创意，公司这边有赏啦！,2015-12-07,2016.01.08,任务编号：395544,100.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【店铺/网店起名】工作室取名,9413人,215人,¥100,圆满完成,o5663ac9b8f874,自己新成立一个设计工作室，住做视频制作，平面设计，想起个名字。个人比较喜欢古典大气的 比如琳琅天上就很好。可以是两个字到四个字。名字必须要注册,2015-12-06,2016.02.05,任务编号：395444,100.0,,一冷寒冰一,个人,七品,37分,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】四川特色串串香起名,3957人,106人,¥200,圆满完成,jcdzzm,1、名称响亮，易记，符合四川特色，有创意但不失稳重 2、最好有中、英文两种名称，并可注册商标 3、附上创意说明。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2015-12-05,2015.12.19,任务编号：395333,200.0,,youhun,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名,13463人,247人,¥500,圆满完成,lpyzhouzhou,基础信息一、公司概况：1、公司是一家经营“休闲咖啡场景的奢侈品海外代购电商平台”的全国连锁企业；2、属于线上线下结合的实体场景+创新电商模式。二、公司经营内容：1、休闲咖啡场景，海外奢侈品代购商品实体展示+线上销售；2、提倡高品质生活，进口日用品的展示和销售3、奢侈品的检测、维护保养及二手奢侈品的销售等4、休闲咖啡+美式简餐的经营三、起名要求：1、公司名称要简洁有冲击力，识别性很强2、高品质高逼格，提升信任感3、国际化，电商化4、有意思好玩，有联想和场景感,2015-12-04,2016.03.19,任务编号：395148,500.0,,匠象图阁,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】团购网站名字征集,7291人,178人,¥250,圆满完成,铭征集,主要消费对象：85后，90后，00后（女性为主）网站销售物品：日常用品、食品为主网名设计要求：女性消费者为主的名字；                            团购网名；                            通俗易懂，印象深刻，过目久久不能忘怀；也可以含蓄搞怪，让人有购物无限遐想的感觉；                            名字给人感觉以便宜，好货，团购为主，温馨，年轻时尚；                            让年轻人觉得不知道这个网站并且知道了没参与购买就跟不上时代的步伐。                举例：尖叫网，闺蜜网，美团,2015-12-03,2015.12.15,任务编号：395025,250.0,,weize,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
